表7-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11A,,,,,11B,,12,,,,,13,,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,24,,,,25,,,,26,,,,27,,,,28,,,,29,,,,30,,,,31,,,,32,,,,33,,,,34,,,,35,,,,36,,,,37,,,,38,,39,,,,40,,,,41,,,,42,,,,43,,,,44,,,,45,,,,46,,,,,51,,,,,,,52,,,,,,,53,,,,,,,54,,,,,,,55,,,,,,,,
地点名,弘法トイレ,,,,,弘法バス停,,,,,追分花壇,,,,,追分松尾峠口,,,,,追分料金所花壇,,,,,弥陀ヶ原大駐車場,,,,,弥陀ヶ原六甲学院前,,,,,弥陀ヶ原バス停,,,,,弥陀ヶ原ホテル前　　　      駐車場,,,,,弥陀ヶ原散策路入口,,,,,弥陀ヶ原ホテル裏,,,,,弥陀ヶ原　焼却炉跡,,弥陀ヶ原立山荘前,,,,,カルデラ展望台入口,,,,,美松駐車場,,,,天狗の鼻　       第1駐車場,,,,天狗の鼻　       第２駐車場,,,,立山高原ホテル　　  　（浄化槽）,,,,立山高原ホテル   周辺,,,,立山高原ホテル～天狗平山荘,,,,天狗平山荘周辺,,,,天狗平駐車場,,,,天狗平                 休憩所跡地,,,,天狗平歩道起点,,,,国見第1駐車場,,,,国見第２駐車場,,,,大谷待避所,,,,大 谷,,,,室堂第2駐車場,,,,室堂ロータリー,,,,立山センター車道,,,,立山センター周辺,,,,室堂ターミナル園地,,,,室堂平広場遊歩道,,,,室堂平広場遊歩道,,,,供養塔広場,,,,みくりが池展望台,,,,みくりが池遊歩道,,,,地獄谷への遊歩道,,室堂山荘遊歩道,,,,室堂山荘遊歩道,,,,室堂山荘横,,,,玉殿岩屋への道,,,,エンマ台,,,,ミドリガ池遊歩道,,,,ミドリガ池遊歩道,,,,ミドリガ池広場,,,,,弥陀ヶ原ホテルと                         休憩所の中間地点,,,,,,,弥陀ヶ原休憩所上部,,,,,,,弥陀ヶ原休憩所下部,,,,,,,弥陀ヶ原遊歩道                         内回り分岐点,,,,,,,弥陀ヶ原遊歩道 T字路,,,,,,,,
,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H22,H25,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,,
カモガヤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
キバナカワラマツバ,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
クサイ,,,,,,,1,1,1,2,2,3,1,2,2,,1,,,1,,,1,1,1,,1,,1,1,,,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,,,2,1,1,2,,1,,1,1,,1,,1,,,,,,1,1,1,1,1,1,2,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
クルマバナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ケキツネノボタン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
コツブアメリカヤガミスゲ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
コナスビ,,1,1,,1,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
ゴマナ,,,1,2,2,,,1,3,1,,,1,2,2,,,2,2,2,,,1,1,1,,,3,3,3,,,1,2,3,,,1,2,2,,,2,2,1,,,2,2,3,,,1,3,2,,3,,,,2,2,,,1,2,2,,2,2,3,,3,3,2,,1,2,1,,3,2,1,,,2,2,,2,2,2,,3,3,2,,2,2,2,,,,,,1,2,1,,,2,1,,,1,1,,2,1,1,,,,1,,1,1,1,,1,2,2,,1,1,1,,1,1,1,,,1,1,,2,1,1,,1,1,1,,2,1,1,,1,1,,,,1,,,,,1,1,1,,,,,,,1,1,,,,,,,1,,,,1,,,,1,1,,1,1,1,,1,1,2,2,2,2,1,1,3,2,2,2,3,3,1,3,4,2,2,3,3,,,,,,1,1,,,,,,,,,134
ササガヤ,,,2,1,1,,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
シロツメクサ,,,1,1,1,2,1,1,1,2,1,,1,1,1,1,1,1,1,1,,1,,,1,3,3,3,3,3,2,4,4,4,3,,2,1,2,2,3,2,1,2,2,,,,,1,,,2,3,3,,1,,2,2,2,2,,2,2,2,2,2,,,,2,2,1,2,5,1,1,1,5,5,5,5,5,2,1,2,,,,,1,3,1,1,,,1,,,1,1,1,1,2,2,2,1,2,1,1,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,2,1,2,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,,,,,,,,,,,,,,98
スイバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,2,,,,1,,,,1,,,,1,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
スイバ×タカネスイバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
スカシタゴボウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
スギナ,3,1,2,2,2,2,,1,1,2,,,,,,2,1,1,2,1,,2,2,4,3,3,2,3,2,3,,,,,,3,3,2,2,2,3,3,3,3,2,3,2,1,2,2,1,,1,3,2,2,,3,2,2,2,2,,,,,,1,,,,2,3,2,4,3,,,,,,,,,2,1,1,,,,,3,3,2,2,,1,1,1,,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,3,3,2,2,,,,,3,1,1,1,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,87
ススキ,4,1,4,4,3,4,,2,2,2,,,1,1,1,,,1,1,1,,1,1,1,2,,1,,1,1,,,,,,,,,,1,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,31
スズメノカタビラ,1,2,1,1,1,1,2,2,2,1,,1,1,3,2,1,1,1,2,2,,,,,,2,2,1,2,2,,,1,,,2,2,1,1,1,2,2,2,2,1,,,,,2,4,4,3,3,2,,1,4,3,2,3,3,3,3,3,2,2,,1,1,,3,2,1,1,4,2,3,3,5,3,3,3,3,3,3,3,,,,,2,1,1,1,3,1,1,1,3,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,,3,2,2,2,4,2,2,2,,,1,1,3,3,1,3,3,2,2,1,2,1,2,1,,1,1,1,2,3,3,3,3,2,2,2,3,2,1,1,1,,2,2,2,1,3,1,1,1,3,3,3,3,,1,1,,3,3,1,1,2,2,1,1,2,2,2,2,2,2,2,1,,,,,,,,,,1,1,1,1,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,168
セイヨウウツボグサ,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,3,,,,,,,,1,1,,,,,,,,1,1,1,1,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
セイヨウオダマキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
セイヨウタンポポ,,,1,,,,,,,,,,,,,,,,1,1,2,,,,,2,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,1,,,1,2,1,,,2,1,1,,1,1,,1,1,1,,,,1,1,1,,,1,,,,1,1,1,1,,,1,1,3,,,,1,,,1,,,,1,,1,1,1,1,1,1,1,2,1,1,1,3,1,,,1,,,,1,,,,2,2,1,2,3,1,1,2,1,1,1,1,2,1,,2,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,3,1,,1,,,1,1,1,1,,1,,,,,,,3,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
セイヨウタンポポ雑種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ゼニゴケ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,2,2,,4,4,3,3,2,2,,,,,,,,,,,,,,,,12
タガラシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
タチオランダゲンゲ,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
タニウツギ,,,1,1,1,1,,1,1,1,,1,1,1,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
タニソバ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,1,,1,,,1,,,,1,,,,,,,,1,1,2,2,2,,2,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,19
ツメクサ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
ツボスミレ,,,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,1,1,,,,,,,,,,,,,,,,18
トウバナ,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
ドロノキ,,,,,1,,,,1,1,,,1,1,1,,,,1,1,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,14
ニワゼキショウ,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
ヌカボ,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
ヌマイチゴツナギ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
ネジバナ,,,,1,1,1,1,,1,1,,2,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
ノコンギク,2,2,1,2,3,,1,1,1,1,,,1,,1,1,2,1,1,1,1,1,1,1,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
ノボロギク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
バッコヤナギ,,,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6
ハルジオン,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
ハンゴンソウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ヒメジョオン,1,2,1,1,1,1,1,1,1,1,1,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
ヒメムカシヨモギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
ヒョウタンゴケ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,,,3,2,1,1,2,,,,,,,,,,,,,,,,10
フキ,2,1,1,1,1,,1,1,1,1,,,1,1,1,,,,1,1,1,,,1,1,2,1,1,1,1,,,1,,1,1,2,1,2,2,2,2,1,1,,,,,,,,,,1,1,,,,1,1,1,1,2,1,1,1,2,,1,,,1,2,2,2,,2,2,2,,,,,,,,,1,1,1,1,1,,1,1,,1,1,1,,2,1,1,1,2,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,1,2,2,2,2,1,1,1,,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
フランスギク,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
ホソイ,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
