表7-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11A,,,,,11B,,12,,,,,13,,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,24,,,,25,,,,26,,,,27,,,,28,,,,29,,,,30,,,,31,,,,32,,,,33,,,,34,,,,35,,,,36,,,,37,,,,38,,39,,,,40,,,,41,,,,42,,,,43,,,,44,,,,45,,,,46,,,,,51,,,,,,,52,,,,,,,53,,,,,,,54,,,,,,,55,,,,,,,,
地点名,弘法トイレ,,,,,弘法バス停,,,,,追分花壇,,,,,追分松尾峠口,,,,,追分料金所花壇,,,,,弥陀ヶ原大駐車場,,,,,弥陀ヶ原六甲学院前,,,,,弥陀ヶ原バス停,,,,,弥陀ヶ原ホテル前　　　      駐車場,,,,,弥陀ヶ原散策路入口,,,,,弥陀ヶ原ホテル裏,,,,,弥陀ヶ原　焼却炉跡,,弥陀ヶ原立山荘前,,,,,カルデラ展望台入口,,,,,美松駐車場,,,,天狗の鼻　       第1駐車場,,,,天狗の鼻　       第２駐車場,,,,立山高原ホテル　　  　（浄化槽）,,,,立山高原ホテル   周辺,,,,立山高原ホテル～天狗平山荘,,,,天狗平山荘周辺,,,,天狗平駐車場,,,,天狗平                 休憩所跡地,,,,天狗平歩道起点,,,,国見第1駐車場,,,,国見第２駐車場,,,,大谷待避所,,,,大 谷,,,,室堂第2駐車場,,,,室堂ロータリー,,,,立山センター車道,,,,立山センター周辺,,,,室堂ターミナル園地,,,,室堂平広場遊歩道,,,,室堂平広場遊歩道,,,,供養塔広場,,,,みくりが池展望台,,,,みくりが池遊歩道,,,,地獄谷への遊歩道,,室堂山荘遊歩道,,,,室堂山荘遊歩道,,,,室堂山荘横,,,,玉殿岩屋への道,,,,エンマ台,,,,ミドリガ池遊歩道,,,,ミドリガ池遊歩道,,,,ミドリガ池広場,,,,,弥陀ヶ原ホテルと                         休憩所の中間地点,,,,,,,弥陀ヶ原休憩所上部,,,,,,,弥陀ヶ原休憩所下部,,,,,,,弥陀ヶ原遊歩道                         内回り分岐点,,,,,,,弥陀ヶ原遊歩道 T字路,,,,,,,,
,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H22,H25,H20,H22,H25,H28,R1,H20,H22,H25,H28,R1,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H23,H26,H29,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,H21,H24,H27,H30,,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,H25,H26,H27,H28,H29,H30,R1,,
エゾノギシギシ,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,2,1,1,1,1,1,1,,,1,1,1,,1,1,3,1,1,2,2,,,,,1,3,,1,1,2,2,1,3,2,2,2,3,2,1,1,1,,,,,,,,,,,,,,,,,1,3,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,1,1,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,1,,,,,,,,,,1,1,,,,,,1,,2,,1,1,,,,,,,,,,,,,,,,67
エゾノタカネヤナギ,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
エゾノミツモトソウ,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
オオイタドリ,,,1,3,1,,,4,4,4,,,,,,,,1,2,1,,,1,,1,,,1,1,1,,,1,1,1,,,1,1,1,,,,,,,,,,,,,2,1,1,,3,,,,,,,,,,,,,,1,,2,2,3,,,2,1,,,,,,,,,,,1,1,,,,,,2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,2,,2,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,52
オオウシノケグサ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,2,2,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,1,,1,1,1,,,,1,,,,2,,1,,,,,,,,,,,,,,1,,1,,2,,,,1,,,,1,,,,1,,,,,,,,,,2,2,2,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
オオバコ,2,4,2,2,2,2,2,2,3,3,5,4,3,4,4,2,3,2,3,3,1,2,1,1,1,3,1,1,2,2,,,,,,3,2,2,2,2,2,2,2,2,1,,,,1,1,3,3,3,3,3,2,1,2,3,3,3,3,2,3,2,2,2,1,,,1,3,3,2,3,2,1,,1,1,,,1,,,1,1,,1,1,,2,1,2,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,1,3,1,,1,1,,1,1,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,110
オニウシノケグサ,,2,1,1,1,,1,1,1,,,,,,,1,1,1,1,,,2,1,1,,,2,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,,,,,2,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
オノエヤナギ,2,2,2,1,,,1,1,1,1,3,1,1,1,1,,1,1,2,1,,1,2,1,1,,3,3,1,1,,4,4,2,1,3,2,2,2,2,2,2,1,1,1,,,1,,,2,1,,2,2,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,,2,1,,,,,1,1,1,1,1,,,,,1,,1,1,,,1,1,1,,,1,1,1,1,1,,,,1,,,,,1,,,,,,,,1,1,1,,1,,1,1,2,2,,1,1,,,,,1,,,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,2,2,2,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,113
外来ミミナグサ,,,,,1,,,1,1,1,,,,,,,1,1,1,1,,,,,,1,1,,1,1,1,1,,2,1,,,,,,1,,,,1,,,,,1,2,,,1,1,,,,1,1,2,2,,,,,,,,,,,,,,,,,,3,1,1,1,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2,,,,2,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,,,,,,,,,,,,,,,52
（カノコソウ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
