layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
B2,ヤマアジサイ,bs,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,-,Ⅰ,Ⅰ,Ⅰ,-,0,0.02,0.02,0.008,0,0,1.2403473458920846,1.2403473458920846,0.7844645405527361,0,0
B2,ヤマウルシ,bs,0.23076923076923078,0.6538461538461539,0.7307692307692307,0.7307692307692307,0.6538461538461539,Ⅱ,Ⅳ,Ⅳ,Ⅳ,Ⅳ,0.22,1.6,1.66,1.74,0.476,7.125253031944252,32.344301602505595,34.829253840369915,35.65863796527373,17.641733736534206,1
B2,ヤマモミジ,bl,0,0.19230769230769232,0.3076923076923077,0.2692307692307692,0.19230769230769232,-,Ⅰ,Ⅱ,Ⅱ,Ⅰ,0,0.46,0.372,0.416,0.236,0,9.405399431259603,10.698669938900744,10.583005244258361,6.736810475634251,0
C,アカミノルイヨウショウマ,h,0.11538461538461539,0,0,0,0,Ⅰ,-,-,-,-,0.04,0,0,0,0,2.1483446221182985,0,0,0,0,0
C,イボタノキ,ds,0,0,0.07692307692307693,0.07692307692307693,0,-,-,Ⅰ,Ⅰ,-,0,0,0.008,0.012,0,0,0,0.7844645405527361,0.9607689228305228,0,0
C,イワカガミ,h,0.23076923076923078,0,0.07692307692307693,0,0,Ⅱ,-,Ⅰ,-,-,0.32,0,0.02,0,0,8.593378488473194,0,1.2403473458920846,0,0,0
C,ウド,h,0,0.07692307692307693,0,0,0,-,Ⅰ,-,-,-,0,0.02,0,0,0,0,1.2403473458920846,0,0,0,0
C,ウメガサソウ,h,0,0.07692307692307693,0,0,0,-,Ⅰ,-,-,-,0,0.02,0,0,0,0,1.2403473458920846,0,0,0,0
C,エンレイソウ,h,0,0.15384615384615385,0.07692307692307693,0.2692307692307692,0.3076923076923077,-,Ⅰ,Ⅰ,Ⅱ,Ⅱ,0,0.06,0.02,0.076,0.028,0,3.038218101251,1.2403473458920846,4.523443208612048,2.935197542821371,0
C,オオバタケシマラン,h,0,0,0,0,0.07692307692307693,-,-,-,-,Ⅰ,0,0,0,0,0.004,0,0,0,0,0.554700196225229,0
