"","階層","種名","f2000","v2000","f2007","v2007","f2013","v2013","f2019","v2019"
"49","C","サカゲイノデ","-",0,"Ⅰ",1.78885438199983,"Ⅰ",1.78885438199983,"Ⅰ",0.894427190999916
"50","C","サラシナショウマ","-",0,"Ⅰ",0.894427190999916,"-",0,"-",0
"51","C","サワダツ","-",0,"-",0,"Ⅰ",3.57770876399966,"Ⅰ",0.894427190999916
"52","C","サンカヨウ","-",0,"Ⅰ",0.894427190999916,"-",0,"Ⅰ",0.894427190999916
"53","C","シノブカグマ","-",0,"Ⅰ",2.68328157299975,"Ⅰ",4.89897948556636,"Ⅰ",1.26491106406735
"54","C","ジュウモンジシダ","-",0,"Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916,"-",0
"55","C","シラネアオイ","-",0,"Ⅰ",2.82842712474619,"Ⅰ",2.5298221281347,"Ⅰ",0.894427190999916
"56","C","シラネワラビ","Ⅴ",73.2120208708925,"Ⅴ",70.3818158333529,"Ⅴ",73.348483283569,"Ⅴ",74.8331477354788
"57","C","スミレサイシン","-",0,"-",0,"Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916
"58","C","タケシマラン","-",0,"Ⅱ",7.09929573971954,"Ⅱ",7.15541752799933,"Ⅱ",5.3665631459995
"59","C","タチシオデ","Ⅰ",3.57770876399966,"Ⅱ",7.15541752799933,"Ⅰ",3.57770876399966,"Ⅱ",6.26099033699941
"60","C","タニギキョウ","Ⅰ",4.09878030638384,"Ⅱ",6.6932802122726,"Ⅰ",4.47213595499958,"Ⅰ",4.47213595499958
"61","C","チゴユリ","Ⅲ",17.2510869222783,"Ⅲ",18.0665436650179,"Ⅲ",13.2966161108757,"Ⅲ",17.3205080756888
"62","C","ツクバネソウ","Ⅰ",3.57770876399966,"Ⅰ",3.57770876399966,"Ⅰ",1.78885438199983,"Ⅰ",2.68328157299975
"63","C","ツルアリドオシ","Ⅳ",22.3427840700303,"Ⅲ",27.1882327487463,"Ⅲ",13.145341380124,"Ⅲ",16.0499221181911
"64","C","ツルリンドウ","-",0,"Ⅱ",5.3665631459995,"Ⅰ",4,"Ⅰ",3.57770876399966
"65","C","テンニンソウ","-",0,"-",0,"Ⅰ",6,"Ⅰ",7.15541752799933
"66","C","トチバニンジン","-",0,"Ⅰ",2.68328157299975,"Ⅰ",0.894427190999916,"Ⅰ",1.78885438199983
"67","C","ナライシダ","-",0,"Ⅱ",17.2046505340853,"Ⅱ",11.0634533487515,"Ⅰ",4
"68","C","ハイイヌツゲ","Ⅳ",21.7990825495019,"Ⅱ",12,"Ⅱ",7.26636084983398,"Ⅱ",8.85437744847146
"69","C","ヒメカンアオイ","Ⅱ",8.76356092008266,"Ⅰ",6.19677335393187,"Ⅱ",9.46572765295939,"Ⅱ",8.19756061276768
"70","C","ヒメモチ","Ⅰ",8.24621125123532,"Ⅲ",19.0787840283389,"Ⅴ",28.3971829588782,"Ⅴ",30.0399733688297
"71","C","ヒロバスゲ","-",0,"-",0,"Ⅰ",0.894427190999916,"-",0
"72","C","ヒロハユキザサ","-",0,"-",0,"Ⅰ",2.68328157299975,"Ⅰ",1.78885438199983
"73","C","ホウチャクソウ","Ⅱ",6.19677335393187,"-",0,"-",0,"Ⅰ",0.894427190999916
"74","C","マイヅルソウ","-",0,"Ⅰ",3.57770876399966,"Ⅰ",1.78885438199983,"-",0
"75","C","ミヤマイタチシダ","-",0,"-",0,"-",0,"Ⅰ",1.78885438199983
"76","C","ミヤマイボタ","-",0,"Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916
"77","C","ミヤマウズラ","-",0,"Ⅱ",6.26099033699941,"Ⅱ",6.19677335393187,"Ⅰ",2.68328157299975
"78","C","ミヤマカンスゲ","-",0,"Ⅴ",68.9927532426414,"Ⅴ",68.1175454637056,"Ⅴ",64.8074069840786
"79","C","ミヤマシキミ","-",0,"Ⅱ",6.92820323027551,"-",0,"-",0
"80","C","ヤマイヌワラビ","-",0,"Ⅲ",12.5219806739988,"Ⅱ",10.5830052442584,"Ⅲ",12
"81","C","ヤマソテツ","Ⅴ",51.6604297310814,"Ⅴ",52.3450093132096,"Ⅴ",56.2138772902208,"Ⅴ",57.0964096944808
"82","C","ヤマドリゼンマイ","Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916,"Ⅰ",4.38178046004133
"83","C","ユキザサ","Ⅴ",44.7213595499958,"Ⅴ",42.4641024866887,"Ⅴ",24.9319072675959,"Ⅴ",23.4946802489415
"84","S","チシマザサ","Ⅴ",89.2188320927819,"Ⅴ",81.6235260203821,"Ⅴ",72.7956042628949,"Ⅴ",73.4846922834953
