サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,被度2025
22,B2,コシアブラ,0,0.5,1,0.1,1.5
22,B2,コマユミ,4,0,0,0,0
22,B2,ツノハシバミ,0.5,0.5,0.5,2,2
22,B2,ツリバナ,0,0,0,0,0.5
22,B2,トチノキ,0,0,0,0.1,0
22,B2,ナナカマド,0,1,0,1,1
22,B2,ノリウツギ,0,3,2,2,1
22,B2,ハイイヌガヤ,3,4,1,0.5,0.6
22,B2,ハウチワカエデ,0,5,4,3,0
22,B2,ヒメアオキ,0,5,5,4,2
22,B2,ブナ,0,0,0,2,0.5
22,B2,ホオノキ,0.5,0,0,0,0
22,B2,マユミ,4,0,0,0,0
22,B2,ミズキ,4,0,0,0,0
22,B2,ヤマウルシ,0,0,0,0,0.5
22,B2,ヤマモミジ,0,0,0.1,0,0
22,C,コカンスゲ,5,0,0,0,0
22,C,シラネワラビ,6,28,50,45,20
22,C,タチシオデ,0.5,0,0,0,0
22,C,ツクバネソウ,0,0,0,0,0.3
22,C,ツルアリドオシ,0.5,0,0,0,0
22,C,ハイイヌツゲ,1,0,0,0,0
22,C,ヒメモチ,3,0,0.5,0.5,2
22,C,ミヤマウズラ,0,0.5,0,0,0
22,C,ミヤマカンスゲ,0,12,4,5,0.2
22,C,ミヤマシキミ,0,2,0,0,0
22,C,ヤマソテツ,1,3,3,2,9
22,C,ユキザサ,0.5,0.5,0,0,0
22,S,チシマザサ,9,60,25,15,12
23,B2,アオダモ,0,0.5,0.5,0.2,1
23,B2,イタヤカエデ,0,0.5,0,0.1,0.1
23,B2,ウリハダカエデ,0.5,0.5,2,1,1
23,B2,ウワミズザクラ,0,2,4,4,2
23,B2,オオカメノキ,5,10,5,5,7
23,B2,オオバクロモジ,3,3,1,6,4
23,B2,コシアブラ,0,0.5,1,5,2
23,B2,コマユミ,2,0,0,0,0
23,B2,サワフタギ,4,6,0,5,3
23,B2,タカノツメ,0,0,0.1,0,0
23,B2,ツリバナ,0,0,0,0,0.2
23,B2,トチノキ,0,1,0.5,0.1,0.5
23,B2,ナナカマド,0,0,0,0.3,0
23,B2,ノリウツギ,0,0.5,1,2,0.5
23,B2,ハイイヌガヤ,1,2,0.2,1,0.5
23,B2,ハウチワカエデ,0,0.5,0.1,0.1,0.1
23,B2,ヒメアオキ,4,4,4,4,0.3
23,B2,ブナ,0,0,0.5,1,1
23,B2,ミズキ,3,0,0,0,0
23,B2,ヤマウルシ,0,5,5,2,0.1
23,B2,ヤマモミジ,0,0,3,0,0.2
23,C,アカミノルイヨウショウマ,0.5,0,0,0,0
23,C,エンレイソウ,0,0,0,0,0.1
23,C,オシダ,0,0,1,0,0.2
23,C,カメバヒキオコシ,2,0.5,0.2,1,2
23,C,クルマバソウ,0,0.5,0,0,0
23,C,クルマバハグマ,0,0,0.5,0.5,0.1
23,C,コカンスゲ,5,0,0,0,0
23,C,シラネワラビ,5,15,25,30,28
23,C,タニギキョウ,2,0,0,0,0.2
23,C,ツクバネソウ,0,0,0.1,0.1,0
23,C,ヒメモチ,0,0,0.1,0.1,0.2
23,C,ホソバナライシダ,0,0.5,0,0,0
23,C,ミヤマカンスゲ,0,10,2,2,1
23,C,ヤマソテツ,2,2,2,2,1.5
23,C,ヤマドリゼンマイ,0.5,0,0,0.5,3
23,C,ユキザサ,1,2,0.2,0.5,0.2
23,S,チシマザサ,9,80,20,10,8
24,B2,アオダモ,0,0,0.2,0.1,0.5
24,B2,ウリハダカエデ,0.5,3,1,0.5,2
24,B2,ウワミズザクラ,1,5,3,5,3
24,B2,オオカメノキ,5,8,5,6,6
24,B2,オオバクロモジ,4,5,1,3,0.5
24,B2,コシアブラ,0,0,0.1,0.5,0.5
24,B2,コマユミ,2,0,0.1,0,0
24,B2,サワフタギ,4,6,3,2,3
24,B2,ツリバナ,0,0.5,0,0.5,0
24,B2,トチノキ,0,0,0.1,0.1,0
24,B2,ナナカマド,0,0.5,0.2,0.5,0.1
24,B2,ハイイヌガヤ,0,0.5,0.2,0.1,0.1
24,B2,ハウチワカエデ,0,0,0,0.1,0
24,B2,ハリギリ,0,6,0,0,0
24,B2,ヒメアオキ,0,4,3,2,0.1
24,B2,ブナ,5,15,0.5,1,2
24,B2,マユミ,4,0,0,0,0
24,B2,ミズキ,3,0,0,0,0
24,B2,ヤマウルシ,0,1,0.5,0.5,1
24,B2,ヤマモミジ,0,4,1,0.1,0
24,C,オシダ,0,0,0,0,2
24,C,カメバヒキオコシ,0.5,0,0,0,0
24,C,コカンスゲ,5,0,0,0,0
24,C,シラネワラビ,7,25,25,30,28
24,C,タチシオデ,0,0.5,0.1,0.1,0
24,C,ハイイヌツゲ,2,0,0,0,0
24,C,ヒメモチ,0,0,0.2,0.5,1.5
24,C,ミヤマカンスゲ,0,10,5,3,1
24,C,ヤマソテツ,3,3,2,4,3.5
24,C,ユキザサ,4,6,0.2,0.1,0.2
24,S,チシマザサ,9,60,40,10,15
25,B2,アオダモ,0.5,0.5,0.5,0.1,0.2
25,B2,イタヤカエデ,0,0,0.1,0.3,1
25,B2,ウリハダカエデ,0,0,0.2,0.2,1
25,B2,ウワミズザクラ,3,3,1,1,3
25,B2,オオカメノキ,4,5,2,7,5
25,B2,オオバクロモジ,4,5,2,1,1.5
25,B2,クサアジサイ,1,0,0,0,0
25,B2,コシアブラ,0,2,0,0.3,0.2
25,B2,コマユミ,2,0.5,0,0,0
25,B2,サワフタギ,3,5,10,10,10
25,B2,ツノハシバミ,0,0.5,0.2,0,0.5
25,B2,ツリバナ,0,1,0.2,0,0.5
25,B2,ナナカマド,0.5,0,0,0,0
25,B2,ノリウツギ,1,0,0,0,0
25,B2,ハイイヌガヤ,0,2,1,0.5,1
25,B2,ハウチワカエデ,0.5,0,0,1,0.1
25,B2,ヒメアオキ,0,2,0.5,0.2,1
25,B2,ブナ,5,15,2,3,2
25,B2,ホオノキ,1,0,0,0,0
25,B2,ミズキ,4,1,0.5,2,1
25,B2,ヤマモミジ,0,0,0.1,0.1,0
25,C,エンレイソウ,0,0,0,0.1,0.1
25,C,コカンスゲ,5,0,0,0,0
25,C,シラネワラビ,5,15,15,25,25
25,C,タケシマラン,0,0.5,0.1,0.1,0
25,C,タニギキョウ,1,1,0,0,0
25,C,チゴユリ,0,0,0,0,0.1
25,C,ツクバネソウ,0.5,0.5,0,0,0.1
25,C,テンニンソウ,0,0,0.5,0.3,0
25,C,ハイイヌツゲ,0.5,1,0.5,0.2,0.5
25,C,ヒメモチ,0,1,1,0.5,0.5
25,C,ホウチャクソウ,0.5,0,0,0,0
25,C,ミヤマカンスゲ,0,12,20,10,5
25,C,ヤマイヌワラビ,0,0.5,0.2,0.1,0.1
25,C,ヤマソテツ,1,1,4,2,3
25,C,ユキザサ,4,4,2,0.5,0.5
25,S,チシマザサ,9,40,20,20,10
