"sp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","Mean","Frequency","FreqCode","DominatIndex"
"アオダモ",0,0.5,1.5,2,0.1,0.1,0.2,0.2,0,0,0.2,1,0.2,0,0.1,2.5,2,0.5,0,0.2,1,1,1,0.5,0.2,0.6,0.807692307692308,"Ⅴ",22.0139815711603
"イタヤカエデ",0.3,0,0,0,0,0.1,0.1,0,0.1,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0,1,0.104,0.461538461538462,"Ⅲ",6.92820323027551
"ウリハダカエデ",0.5,5,2,1,6,0.3,4,3,2,2,0.5,0.2,3,4,6.5,1,1,8,3,0.5,0.2,1.5,1,2,1,2.368,1,"Ⅴ",48.6621002423858
"ウワミズザクラ",0.5,0.5,0.6,1,2.5,0,0.5,1,0.5,2,0,0.1,0.2,1,1,1.5,1,0,1.5,1.5,0.2,0,2,3,3,1.004,0.846153846153846,"Ⅴ",29.1468430801427
"オオカメノキ",2,15,20,0.15,10,20,22,3,8.5,10,7,9,15,10.5,5,10,13,15,6,7,10,14,7,6,5,10.006,1,"Ⅴ",100.029995501349
"オオバクロモジ",3,10,0.5,0.3,3,2,6,4,2,1,8,5,6,5,3,1.5,4,8,2.5,1,2,2,4,0.5,1.5,3.432,1,"Ⅴ",58.5832740635072
"コシアブラ",3,0.3,5,1,0.5,1,1.5,3,0,1,1,2,5,0.5,0.3,0.2,0.5,0.5,1,0.2,1,1.5,2,0.5,0.2,1.308,0.961538461538462,"Ⅴ",35.4639578684093
"コマユミ",0,0.3,0.1,0.1,0.2,0,0.2,0,0,0,0.5,0,0,0.2,0.1,0,0.1,0,0,0.1,0.1,0,0,0,0,0.08,0.461538461538462,"Ⅲ",6.076436202502
"サワフタギ",1.2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,2,0,0,3,3,10,1.008,0.346153846153846,"Ⅱ",18.6794827798597
"タムシバ",1,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.084,0.192307692307692,"Ⅰ",4.0191847623425
"ツノハシバミ",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.5,0,0,2,0,0,0.5,0.168,0.192307692307692,"Ⅰ",5.68398560058805
"ツリバナ",0,0.36,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0.2,0,0,0.1,0.2,0,0.1,0.5,0.2,0,0.5,0.0984,0.461538461538462,"Ⅲ",6.73909375327162
"トチノキ",0.1,0.1,0,0,0,0,0,0,0,0,0.5,0.2,0,0.1,0.5,0.1,0,0,0,0,0.5,0,0.5,0,0,0.104,0.384615384615385,"Ⅱ",6.32455532033676
"ノリウツギ",0.1,0,0,0,2,0.1,0,0,0,0,0,0,0.1,0,0.1,0.5,0.5,1,0.1,0,0,1,0.5,0,0,0.24,0.461538461538462,"Ⅲ",10.5246962316843
"ハイイヌガヤ",0.5,0.3,0,0,0,0.5,0.5,0.5,0,0.2,3,0.2,0,0.1,0,1.5,0.5,0,0,0.6,1,0.6,0.5,0.1,1,0.464,0.692307692307692,"Ⅳ",17.9229118513362
"ヒメアオキ",5,3,0,0.4,0,4,4,0,0,0.1,2,2,0,5,0.5,0.5,1,1,1,4,2,2,0.3,0.1,1,1.556,0.807692307692308,"Ⅴ",35.4509411831228
"ブナ",0.5,0,0.5,3.5,3,0.1,0,0,3,1.5,1,1,5,9,15,1.5,1,0.5,5,4,0.5,0.5,1,2,2,2.444,0.884615384615385,"Ⅴ",46.4973117502507
"ホオノキ",0.5,0,4,0,0,0,0,0,0,0.5,0,0,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.288,0.230769230769231,"Ⅱ",8.15239464584109
"ミズキ",0,0,0,0,0,0,0,0,0,1.5,0,0.1,0,0.1,0.1,0,0,0,0,1,0.2,0,0,0,1,0.16,0.307692307692308,"Ⅱ",7.01646415445623
"ヤマウルシ",2,0,0,0.3,1,1.5,0.1,0.5,0,0,0.1,1,2,0.1,0,0.2,0.5,1,0,0,0,0.5,0.1,1,0,0.476,0.653846153846154,"Ⅳ",17.6417337365342
"コカンスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"シノブカグマ",0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"シラネワラビ",20,20,15,6,29,25,15,25,20,19,9,8,5,4,15,13,14,20,10,20,9,20,28,28,25,16.88,1,"Ⅴ",129.923054151294
"タケシマラン",0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0.230769230769231,"Ⅱ",2.1483446221183
"チゴユリ",0,0.1,0.1,0,1,0.2,0.1,0.1,0,0,0,0.1,0,0.1,0.1,0,0.2,0.1,0,0.1,0,0,0,0,0.1,0.096,0.538461538461538,"Ⅲ",7.18973627418334
"ツルアリドオシ",0.1,0.1,1,0,0,15,1,0.2,0,0,0.5,2,2,0,0.2,1,0,0.5,0,0,0,0,0,0,0,0.944,0.5,"Ⅲ",21.7255609824004
"ツルリンドウ",0.2,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.024,0.230769230769231,"Ⅱ",2.35339362165821
