no,地点名,,種数,アイバソウ,マルバヤナギ,アライトツメクサ,イグサ,イタドリ,アイイタドリ,イヌガラシ,イヌコリヤナギ,イヌトウバナ,エゾノギシギシ,エゾノミツモトソウ,オオイタドリ,オオウシノケグサ,オオバコ,オオバヤナギ,オニウシノケグサ,オノエヤナギ,外来ミミナグサ,カノコソウ,カモガヤ,キオン,キバナカワラマツバ,クサイ,ヤマクルマバナ,ケキツネノボタン,コウライシバ,コガネスゲ,コシノネズミガヤ,コツブアメリカヤガミスゲ,コナスビ,ゴマナ,ササガヤ,シロツメクサ,スイバ,スカシタゴボウ,スギナ,ススキ,スズメノカタビラ,セイヨウウツボグサ（大・白花）,セイヨウウツボグサ（小・白花）,セイヨウウツボグサ（大・紫花）,セイヨウウツボグサ,セイヨウタンポポ,ゼニゴケ,タチオランダゲンゲ,タニウツギ,タニソバ,タヌキラン,ツメクサ,ツボスミレ,Juncus compressus,ドロノキ,ナガハグサ,ニワゼキショウ,Poa sp.（ヌマイチゴツナギ）,ネジバナ,ノアザミ,ノコンギク,ノボロギク,ノミノフスマ,バッコヤナギ,バッコオノエヤナギ,ハルジオン,ハンゴンソウ,ヒメジョオン,ヒメムカシヨモギ,ヒョウタンゴケ,フキ,フランスギク,ホソイ,ホッスガヤ,ミスジナガハグサ,ミドリハコベ,ヤマアゼスゲ,ヤマホタルブクロ,ヨシ？,ヨモギ,雑種ヨモギ,Iris ｓｐ.,ヌカボ,ミミナグサsp.,スイバ×タカネスイバ,エゾノタカネヤナギ,メノマンネングサ,ヨツバヒヨドリ,タチツボスミレ,ヒメヌカボ,セイヨウオダマキ,タガラシ,ヤマハギ,エゾコヌカグサ
12,弥陀ヶ原立山荘入口,H20,10,,,,,3,,,,,3,,,,2,,,1,,,,,,,,,,,,,,,,,,,3,,4,,,,0,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,H22,17,,,,,1,,,,,2,,,,3,,2,1,1,,,,,2,,,,,,,,,,2,,1,2,,3,,,,0,1,,1,,3,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H25,18,,,,,1,,,,,2,,,,3,,,1,1,,,,,1,,,,,,,1,,,2,,1,2,,2,,,,0,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
,,H28,17,,,,,1,,,,,2,,,,3,,,1,2,1,,,,1,,,,,,,,2,,2,,1,2,,3,,,,0,,,,,2,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R1,17,,,,2,1,,,,,3,,,,3,,,1,2,,,,1,2,,,,,,,1,2,,2,,1,2,,3,,,,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R4,17,,,,2,1,,,,,2,,,,4,,,1,2,,,,,1,,,,,,,,3,,3,,,3,,3,,,,0,1,,,,3,,,,,,,,,,2,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,
,,R7,19,,,,1,1,,,,,1,,,,3,,,1,1,1,,,,2,,,,,,,,1,,3,,,2,,2,,,,0,1,,,,2,,,,,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
13,弥陀ヶ原カルデラ展望台入口,H20,8,,,,,2,,,,,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,
,,H22,11,,,,,1,,,,,1,,,,3,,2,1,,,,,,1,,,,,,,,,,2,,,,,3,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
,,H25,12,,,,,1,,,,,1,,,,2,,,1,,,,,,,,,,,,,,1,,2,,,,,3,,,,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,
,,H28,13,,,,,1,1,,,,1,,,,2,,,1,,,,,,1,,,,,,,,2,,2,,,,,2,,,,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R1,12,,,,,1,1,,,,,,,,2,,,1,,,,,,1,,,,,,,,2,,2,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,,,,,,,,,,,,,
,,R4,15,,,,,1,1,,,,2,,1,1,3,,,,,,,,,2,,,,,,,,2,,2,,,1,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,,,,,,,,,,,,,
,,R7,13,,,,,1,,,,,1,,,1,3,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,0,1,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,
14,美松駐車場,H21,6,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
,,H23,9,,,,,2,,,,,,,,,,,1,1,,,,,,1,,,,,,,,2,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,2,,,,,,,1,,,,,,,
,,H26,7,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,1,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,
,,H29,11,,,,1,2,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,3,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,1,,,,,,,
,,R2,12,,,,1,2,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,3,,1,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
,,R5,11,,,,1,2,,,,,,,1,,1,,,,,,,,,1,,,,,,,,3,,1,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
15,天狗の鼻第1駐車場,H21,10,,,,,3,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,2,,,2,2,3,,,,0,1,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H23,12,,,1,,3,,,,,,,2,,3,,,2,,,,,,,,,,,,,,3,,2,,,3,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,2,,,,,,,
,,H26,12,,,1,,2,,,,,,,2,,2,,,1,,,,,,,,,,,,,,3,,1,,,2,,1,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,
,,H29,11,,,,,2,,,,,,,3,,3,,,1,,,,,,,,,,,,,,2,,2,,,4,,1,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,2,,,1,,,,
,,R2,12,,,1,,2,,,,,1,,2,,1,,,1,,,,,,,,,,,,,,3,,2,,,4,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,
,,R5,10,,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,3,,2,,,3,,1,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,
16,天狗の鼻第２駐車場,H21,7,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,3,,4,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H23,10,,,,,2,,,1,,,,,,1,,,2,,,,,,1,,,,,,,,1,,1,,,,,2,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,
,,H26,16,1,,,,1,,,1,,,,2,,1,,,1,,,,,1,1,,,,,,,,2,,1,,,,1,3,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,1,,,,,,,1,,,,,,,
,,H29,14,,,,,1,,,1,,,,1,,1,,,1,,,,,1,1,,,,,,,,1,,1,,,,1,3,,,,0,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,
,,R2,17,,,1,,2,1,,1,,,,1,,1,,,2,,,,,2,2,,,,,,,,2,,1,,,,1,3,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,
,,R5,19,1,,2,,1,2,,1,,,,1,,1,,,1,,,,,1,2,,,,,,,,2,,1,,,,1,2,,,,0,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,
17,立山高原ホテル　　  　（浄化槽）,H21,8,,,,,4,,,,,,,,,1,,,,3,,,,,1,,,,,,,,,,5,,,,,5,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H23,8,,,,,4,,,,,,,,,,,,,1,,,,,1,,,,,,,,3,,5,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H26,10,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,5,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,
,,H29,14,,,,,4,,,,,1,,,1,1,,,1,1,,,,,2,,,,,,,,1,,5,,,,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,3,,,,,,2,,,,,,,
,,R2,13,,,1,,3,,,,,1,,,,1,,,1,2,,,,,2,,,,,,,,2,,5,,,,,3,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
,,R5,13,,,,,4,,,,,,,,1,1,,,1,1,,,,,3,,,,,,,,2,,5,,,,,1,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,
18,立山高原ホテル周辺,H21,6,,,,,3,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H23,6,,,,,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,,,2,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,H26,10,,,,,2,,,,,,,,,1,,,1,2,,,,,,,,,,,,,2,,1,,,1,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,,H29,10,,,,,2,,,,,,,,1,1,,,1,2,,,,,,,,,,,,,2,,2,,,1,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,R2,11,,,1,,1,,,,,,,,1,1,,,,3,,,,,,,,,,,,,2,,3,,,2,,3,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,R5,12,,,2,,1,,,,,,,,,1,,,1,2,,,,,,,,,,,,,2,,3,,,2,,3,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
19,立山高原ホテル～　天狗平山荘,H21,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H23,4,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H26,6,,,,,3,,,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H29,6,,,,,3,1,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R2,8,,,,,3,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R5,8,,,,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,
20,天狗平山荘周辺,H21,9,,,,,,,,,,2,,,,2,,,1,,,,,,,,,,,,,,,,1,,,3,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H23,7,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,3,,3,,,3,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H26,11,,,,,1,,,,,1,,,2,2,,,1,,,,,,,,,,,,,,3,,1,,,2,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,
,,H29,12,,,,,1,,,,,1,,,2,1,,,1,,,,,,,,,,,,,,2,,1,,,2,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R2,11,,,,,1,,,,,2,,,3,2,,,,,,,,,,,,,,,,,2,,2,,,2,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R5,14,,,,,1,,,,,1,,,3,2,,,1,,,,,,,,,,,,,,3,,2,,,2,,2,,,,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,
21,天狗平駐車場,H21,4,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,H23,8,,,,,2,,,,,,,2,,,,,,,,,,,1,,,,,,,,2,,,,,1,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H26,10,,,,,2,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,2,,1,,,1,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H29,11,,,,1,2,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,2,,,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R2,15,,,1,1,2,,,,,1,,1,,1,,,1,,,,,,1,,,,,,,,2,,1,,,1,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,
,,R5,13,,,,,2,1,,,,,,1,1,1,,,1,,,,,,1,,,,,,,,2,,1,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
22,天狗平休憩所跡地（範囲内）,H21,4,,,,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H23,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H29,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R5,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,天狗平休憩所跡地（範囲外）,H21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,H26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R2,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,R5,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
23,天狗平歩道起点,H21,8,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H23,9,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,1,,,,,,,,,,,,,,
,,H26,8,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,2,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
,,H29,10,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,2,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,
,,R2,10,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
,,R5,11,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,2,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,
24,国見第1駐車場,H21,8,,,3,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
,,H23,7,,,1,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H26,10,,,1,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,,,,,1,,,,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,2,,,,,,1,,,1,,,,
,,H29,11,,,1,,2,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,1,,,,,1,,,,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,,,
,,R2,12,,,2,,3,,,,,,,,1,,,,1,,,,,1,,,,,,,,,2,,1,,,1,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R5,15,,,2,,1,1,,,,,,,1,,,,1,,,,,,1,,,,,,,,2,,1,,,,,1,,,,0,1,,,,,,,,,1,,,,,2,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
25,国見第２駐車場,H21,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H23,6,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,
,,H26,6,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,H29,6,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R2,6,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,R5,6,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
25.2,国見待避所,H26,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H29,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R2,6,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R5,5,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
26,大谷待避所,H21,7,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,1,,,,
,,H23,5,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,H26,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,H29,5,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R2,4,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,R5,6,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
27,大 谷,H21,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,
,,H23,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,H26,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,H29,5,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
28,室堂第2駐車場,H21,7,,,,,4,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,0,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H23,8,,,,,4,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,2,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H26,10,,,,,2,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,
,,H29,10,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
,,R2,11,,,,,2,1,,,,,,,2,,,,1,,1,,,,,,,,,,,,1,,1,,,,,2,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
,,R5,13,,,,,3,1,,,,,,,2,,,,1,,,,,1,,,,,,,,,1,,1,,,,,1,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,
29,室堂ロータリー,H21,9,,,,,3,,,,,1,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,0,3,,,,,,,,,,,,,,,,,,,,,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,,H24,15,,,,,3,,,,,1,,2,,1,,1,,1,,,,1,,,,,,,,,1,,1,,,,,2,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,2,,,,,3,,,,,,,,,1,,,,,
,,H27,14,,,,,2,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,2,,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,1,1,,2,,,,,,,,,,,,,
,,H30,14,,,,,3,1,,,,1,,2,1,,,,1,,,,,,,,,,,,,,2,,,,,,,2,,,,0,2,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,2,,,1,,,2,,,,,,,,1,,,,,
,,R3,10,,,,,3,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,0,2,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,1,,,2,,,,,,,,,,,,,
,,R6,10,,,1,,3,1,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,
30,立山センター車道,H21,5,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
