サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,X,no,II_
13,B2,トチノキ,0,0.5,1,0.2,NA,546,0.5
13,B2,ヒメモチ,0,0.5,0.5,0.5,NA,547,0.5
13,B2,ホオノキ,0,1,10,4,NA,548,1
13,B2,ミズキ,3,0,0,,NA,549,0
13,B2,メイゲツカエデ,0,5,1,2,NA,550,4
13,B2,ヤマウルシ,0.5,1,1,5,NA,551,1
13,B2,マユミ,3,0,0,,NA,552,0
13,B2,ブナ,NA,NA,40,5,NA,553,NA
13,B2,ナナカマド,NA,NA,0.5,1,NA,554,NA
13,B2,サワフタギ,NA,NA,1,1,NA,555,NA
13,C,ウド,0,0.5,0,,NA,556,0.5
13,C,オシダ,0,0.5,1,1,NA,557,0.5
13,C,シノブカグマ,0,0.5,0.5,,NA,558,0.5
13,C,シラネワラビ,4,5,10,10,NA,559,4
13,C,タチシオデ,0.5,0,0,,NA,560,0
13,C,チゴユリ,0.5,0,0.5,0.1,NA,561,0
13,C,ツクバネソウ,0,0.5,0,,NA,562,0.5
13,C,ツルアリドオシ,0.5,5,0.5,2,NA,563,4
13,C,ナライシダ,0,1,1,0.5,NA,564,1
13,C,ヒメカンアオイ,0.5,0,0,0,NA,565,0
