"","X.2","サブプロット","階層","種名","DK1999","被度2006","被度2012","被度2018","X","memo","X.1","DK2006"
"189",189,7,"C","ミツバオウレン",NA,NA,0.5,"0.1","","",NA,NA
"190",190,7,"C","ヒメゴヨウイチゴ",NA,NA,0.5,"","","14:41",NA,NA
"191",191,7,"C","ツルリンドウ",NA,NA,0.5,"0.1","","",NA,NA
"192",192,7,"C","オオバショリマ",NA,NA,0.1,"","","",NA,NA
"193",193,7,"C","クロツリバナ",NA,NA,0.1,"","","15:07",NA,NA
"194",194,7,"S","チシマザサ",10,100,95,"95","","",NA,10
"195",195,NA,"","ミヤマシシガシラ",NA,NA,NA,"0.1","","",NA,NA
"196",196,NA,"","オオカメノキ",NA,NA,NA,"1","","",NA,NA
"197",197,NA,"","シノブカグマ",NA,NA,NA,"0.1","","",NA,NA
"198",198,NA,"","ハリブキ",NA,NA,NA,"0.1","","",NA,NA
"199",199,8,"B2","オオカメノキ",3,4,2,"2","","",NA,3
"200",200,8,"B2","オオシラビソ",3,2,0.5,"0.5","","",NA,2
"201",201,8,"B2","オオバスノキ",3,6,1,"5","","",NA,4
"202",202,8,"B2","クロウスゴ",1,0,0.5,"0.5","","",NA,0
"203",203,8,"B2","クロツリバナ",2,1,NA,"","","",NA,1
"204",204,8,"B2","ダケカンバ",0,1,NA,"","","",NA,1
"205",205,8,"B2","ナナカマド",0,0.5,0.5,"1","","",NA,0.5
"206",206,8,"B2","ハリブキ",0.5,0.5,NA,"0.1","","",NA,0.5
"207",207,8,"B2","ヒメウスノキ",0,0.5,0.5,"0.2","","",NA,0.5
"208",208,8,"B2","ミネカエデ",5,20,NA,"1","","",NA,6
"209",209,8,"C","イワナシ",0.5,0.5,0.5,"0.2","","",NA,0.5
"210",210,8,"C","エンレイソウ",0.5,0.5,0.5,"","","",NA,0.5
"211",211,8,"C","コイワカガミ",1,1,0.5,"0.3","","",NA,1
"212",212,8,"C","ゴゼンタチバナ",0,3,2,"1.5","","",NA,3
"213",213,8,"C","シノブカグマ",0,0.5,NA,"","","",NA,0.5
"214",214,8,"C","ショウジョウバカマ",0,1,0.5,"0.1","","",NA,1
"215",215,8,"C","タケシマラン",0,2,0.5,"0.1","","",NA,2
"216",216,8,"C","ツマトリソウ",0.5,0.5,0.5,"0.1","","",NA,0.5
"217",217,8,"C","ツルリンドウ",0.5,0.5,0.5,"0.2","","",NA,0.5
"218",218,8,"C","ヒロハユキザサ",0,0.5,0.5,"0.5","","",NA,0.5
"219",219,8,"C","マイヅルソウ",1,0.5,NA,"0.1","","",NA,0.5
"220",220,8,"C","ミズバショウ",4,4,6,"4","","",NA,3
"221",221,8,"C","ミヤマカンスゲ",5,18,18,"20","","",NA,5
"222",222,8,"C","ヤマソテツ",0,3,4,"5","","",NA,3
"223",223,8,"C","ゴゼンタチバナ",3,0,1,"","","",NA,0
"224",224,8,"C","チゴユリ",2,0,0.5,"0.1","","",NA,0
"225",225,8,"C","ヤマソテツ",3,0,1,"","","",NA,0
"226",226,8,"C","ユキザサ",0.5,0,0.1,"","","",NA,0
"227",227,8,"C","オオバショリマ",NA,NA,NA,"","","",NA,0.5
"228",228,8,"C","シラネワラビ",NA,NA,NA,"","","",NA,0.5
"229",229,8,"S","チシマザサ",9,95,95,"95","","",NA,9
"230",230,9,"B2","オオカメノキ",3,1,1,"1","","",NA,1
"231",231,9,"B2","オオシラビソ",3,3,1,"2","","",NA,3
"232",232,9,"B2","オオバスノキ",3,3,1,"2","","",NA,3
"233",233,9,"B2","クロウスゴ",1,0,NA,"0.1","","",NA,0
"234",234,9,"B2","ハリブキ",0.5,0,NA,"","","",NA,0
"235",235,9,"B2","ミネカエデ",4,5,1,"1","","",NA,4
"236",236,9,"B2","ヒメウスノキ",NA,NA,0.5,"","","",NA,0.5
"237",237,9,"C","エンレイソウ",0,0.5,0.5,"","","",NA,0.5
"238",238,9,"C","コイワカガミ",0.5,2,1,"0.3","","",NA,2
"239",239,9,"C","ゴゼンタチバナ",0,3,0.5,"0.5","","",NA,3
"240",240,9,"C","ショウジョウバカマ",0.5,1,0.5,"0.2","","",NA,1
"241",241,9,"C","ツルリンドウ",2,1,0.5,"0.1","","",NA,1
"242",242,9,"C","ヒメタケシマラン",0,0.5,0.5,"0.2","","",NA,0.5
"243",243,9,"C","ホソバトウゲシバ",0,0.5,NA,"","","",NA,0.5
"244",244,9,"C","マイヅルソウ",2,2,0.5,"0.1","","",NA,2
"245",245,9,"C","ミズバショウ",4,5,4,"3","","",NA,4
"246",246,9,"C","ミツバオウレン",0.5,0.5,0.5,"0.1","","",NA,0.5
"247",247,9,"C","ミヤマカンスゲ",6,15,18,"20","","",NA,5
