サブプロット,階層,種名,DK1999,被度2006,被度2012,
21,C,ヤマブキショウマ,0,0.5,1,
21,C,ヨモギ,5,5,0.1,
21,C,コゴメグサ,0.5,0,0,
21,C,チゴユリ,2,0,0,
21,C,ノコンギク,4,0,0,
21,C,ユキザサ,0.5,0,0,
21,C,ミヤマアキノキリンソウ,,,0.1,
21,C,ヒゲノガリヤス,,,0.1,
21,C,オシダ,,,0.5,
21,C,ミヤマメシダ,,,5,
21,C,ミズバショウ,,,1,
21,C,サカゲイノデ,,,0.5,
21,C,ヤマドリゼンマイ,,,0.5,
21,S,チシマザサ,9,80,70,
22,A2,オオシラビソ,4,0,3,230
22,B1,オガラバナ,4,0,0,
22,B1,オノエヤナギ,3,0,0,
22,B1,ダケカンバ,5,30,40,
22,B1,ナナカマド,4,0,0,
22,B1,バッコヤナギ,2,0,0,
22,B1,ミヤマハンノキ,0,20,10,
22,B2,オガラバナ,4,3,1,
22,B2,オノエヤナギ,3,0,1,
22,B2,クマイチゴ,0,0.5,0,
22,B2,ダケカンバ,4,0,0.5,
22,B2,ナナカマド,4,4,3,
22,B2,バッコヤナギ,2,0,0,
22,B2,ミヤマハンノキ,5,0,3,
22,B2,ミヤマハンノキ,0,4,3,
22,B2,ベニバナイチゴ,,,2,
22,B2,ミネカエデ,,,1,
22,B2,オオシラビソ,,,1,
22,C,イタドリ,3,0,0,
22,C,オオバノヨツバムグラ,0,0.5,0,
22,C,エンレイソウ,0.5,0.5,0.5,
22,C,オオイタドリ,5,15,15,
22,C,オオバショリマ,0,1,0,
22,C,オニシモツケ,0,5,3,
22,C,コウゾリナ,0.5,0,0,
22,C,コガネギク,0,2,0,
22,C,コミヤマカタバミ,1,2,2,
22,C,シモツケソウ,3,0,0,
22,C,タテヤマアザミ,0,4,6,
22,C,ヒゲノガリヤス,1,0,0,
22,C,ヒメゴヨウイチゴ,2,0,0,
22,C,フキ,4,5,3,
22,C,マイヅルソウ,0,0.5,0,
22,C,ミヤマカンスゲ,5,15,3,
22,C,ミヤマメシダ,0,2,2,
22,C,ミヤマワラビ,1,1,1,
22,C,ヤマハハコ,0.5,0.5,0,
22,C,ヤマブキショウマ,0.5,0.5,1,
22,C,ヨモギ,3,5,0,
22,C,オオバノヨツバムグラ,0.5,0,0.1,
22,C,タテヤマオウギ,3,0,0,
22,C,チゴユリ,1,0,0,
22,C,ノコンギク,4,0,0,
22,C,ミヤマアキノキリンソウ,2,0,0.5,
22,C,メシダ,1,0,0,
22,C,ユキザサ,0.5,0,0,
22,C,ミヤマシシウド,,,1,
22,C,オシダ,,,0.5,
22,C,オオバコ,,,0.1,
22,C,ミヤマベニシダ,,,0.1,
22,S,チシマザサ,9,80,80,
23,B1,ダケカンバ,3,20,15,
23,B1,ミヤマハンノキ,0,5,5,
23,B1,オガラバナ,,,2,
23,B1,オノエヤナギ,,,1,
23,B2,オオカメノキ,2,0.5,0,
23,B2,オガラバナ,3,0,3,
23,B2,オノエヤナギ,3,0.5,0,
23,B2,ダケカンバ,5,10,5,
23,B2,バッコヤナギ,0.5,0,0,
23,B2,ベニバナイチゴ,4,10,0,
23,B2,ミヤマハンノキ,4,2,1,
23,B2,ミネカエデ,,,0.5,
23,C,オオバノヨツバムグラ,0,0.5,0,
23,C,エンレイソウ,0.5,0.5,0.4,
23,C,オオイタドリ,6,35,25,
23,C,オニシモツケ,0,10,0,
23,C,ゴマナ,0,4,0,
23,C,コミヤマカタバミ,3,4,3,
23,C,サンカヨウ,0.5,0.5,0,
23,C,シモツケソウ,0.5,2,0.5,
23,C,タテヤマアザミ,5,20,5,
23,C,ヒゲノガリヤス,1,2,0,
23,C,ヒメゴヨウイチゴ,5,8,2,
23,C,ヒメタケシマラン,0,0.5,0.5,
23,C,フキ,4,10,5,
23,C,ミヤマカンスゲ,5,10,15,
23,C,ミヤマシシウド,0,0.5,0.5,photo
23,C,ミヤマメシダ,0,2,1,photo
23,C,ミヤマワラビ,0,1,0.5,photo
23,C,ヤマハハコ,0.5,0,0,
23,C,ヤマブキショウマ,0.5,0.5,0.5,photo
23,C,ヨモギ,3,5,0,
23,C,キオン,0.5,0,0,
23,C,タテヤマオウギ,2,0,0,
23,C,チゴユリ,2,0,0,
23,C,ノコンギク,4,0,0,
23,C,メシダ,2,0,0,
23,C,ユキザサ,0.5,0,0,
23,C,ウラジロタデ,,,0.1,
23,C,サカゲイノデ,,,0.5,
23,C,スギナ,,,0.1,
23,C,ヤマソテツ,,,0.5,
23,C,ヤグルマソウ,,,0.1,0.1na
23,C,オオシラビソ,,,0.1,
23,C,ミヤマイタチシダ,,,0.5,photo
23,S,チシマザサ,9,30,60,
24,B1,ダケカンバ,0,6,10,
24,B1,ミヤマハンノキ,0,5,15,
24,B2,オオシラビソ,5,8,0,
24,B2,オガラバナ,3,0,0,
24,B2,オノエヤナギ,5,10,8,
24,B2,クロツリバナ,2,2,3,
24,B2,ダケカンバ,5,5,0,
24,B2,ミヤマハンノキ,5,8,0.5,
24,C,アキカラマツ,0,1,1,
24,C,イタドリ,5,5,3,
24,C,エンレイソウ,0.5,0.5,0.1,
24,C,オオイタドリ,4,20,5,
24,C,コウゾリナ,4,0,0,
24,C,コガネギク,0,1,0,
24,C,ゴマナ,1,5,0,
24,C,コミヤマカタバミ,0.5,3,5,
24,C,シラネワラビ,1,0,0.5,
24,C,タテヤマアザミ,3,10,5,
24,C,ツクバネソウ,0.5,0,0,
24,C,ヒゲノガリヤス,3,3,0.5,
24,C,ヒメゴヨウイチゴ,5,5,3,
24,C,ヒメタケシマラン,0,1,1,
24,C,フキ,4,10,2,
24,C,マイヅルソウ,1,0,0,
24,C,ミヤマカンスゲ,5,12,8,
24,C,ミヤマシシウド,1,0.5,0,
24,C,ミヤマワラビ,1,0,0.1,
24,C,ヤグルマソウ,0,2,2,
24,C,ヤマブキショウマ,0.5,1,0.5,
24,C,ヨツバヒヨドリ,0.5,0.5,0,
24,C,ヨモギ,5,4,0,
24,C,セイヨウタンポポ,2,0,0,
24,C,タテヤマオウギ,3,0,0,
24,C,チゴユリ,0.5,0,0,
24,C,ノコンギク,4,0,0,
24,C,ミヤマアキノキリンソウ,0.5,0,0.1,
24,C,メシダ,0.5,0,0,
24,C,オオハナウド,,,3,
24,C,テガタチドリ,,,0.1,
24,C,ミヤマセンキュウ,,,0.1,photo
24,C,ヤマイヌワラビ,,,1,photo
24,C,ユキザサ,,,0.1,
24,C,アカショウマ,,,0.1,
24,C,ヒロハユキザサ,,,0.5,photo
24,C,オオバショリマ,,,0.5,
24,C,カニコウモリ,,,1,photo
24,C,ミズバショウ,,,0.1,photo
24,C,サンカヨウ,,,0.5,
24,C,スギナ,,,0.1,
24,S,チシマザサ,9,90,85,
25,B1,オノエヤナギ,4,12,5,
25,B1,ダケカンバ,4,15,18,
25,B1,ミヤマハンノキ,0,18,30,
25,B2,オオシラビソ,7,30,18,
25,B2,オガラバナ,4,0,0,
25,B2,オノエヤナギ,5,10,7,
25,B2,ダケカンバ,8,30,3,
25,B2,ナナカマド,0.5,5,6,
25,B2,バッコヤナギ,0,0.5,0.5,
25,B2,ミネカエデ,0,8,5,
25,C,アキカラマツ,1,5,1,
25,C,イタドリ,4,0,0.5,
25,C,オオイタドリ,0,15,12,
25,C,オオバショリマ,0,5,2,
25,C,コウゾリナ,0,0.5,0,
25,C,ゴゼンタチバナ,0,0.5,0,
25,C,コミヤマカタバミ,0,4,4,
25,C,タテヤマアザミ,3,10,5,
25,C,ヒメタケシマラン,0,1,0.5,
25,C,ヒロハユキザサ,0,1,0.5,
25,C,フキ,3,5,5,
25,C,マイヅルソウ,1,0,3,
25,C,ミヤマカンスゲ,8,60,40,
25,C,ミヤマシシウド,1,0,4,
25,C,ミヤマワラビ,0,1,0.1,
25,C,モミジカラマツ,5,8,10,
25,C,ヤマドリゼンマイ,1,0,0,
25,C,ヤマブキショウマ,0.5,4,0.1,
25,C,ヨツバヒヨドリ,3,2,2,
25,C,ヨモギ,4,5,0,
25,C,オシダ,0.5,0,0,
25,C,ゴゼンタチバナ,0.5,0,0,
25,C,チゴユリ,0.5,0,0.5,
25,C,ハクモウイノデ,0.5,0,0,
25,C,ミヤマアキノキリンソウ,3,0,0,w
25,C,ユキザサ,1,0,0,
25,C,ミヤマカタバミ,,,0.5,
25,C,アカショウマ,,,0.1,
25,C,エンレイソウ,,,0.5,
25,C,ヒメノガリヤス,,,0.1,
25,S,チシマザサ,7,0,70,
