"","階層","種名","f1999","v1999","f2006","v2006","f2012","v2012","f2018","v2018"
"96","C","ミヤマシシガシラ","-",0,"-",0,"-",0,"Ⅰ",0.894427190999916
"97","C","ミヤマセンキュウ","-",0,"-",0,"Ⅰ",0.894427190999916,"Ⅰ",0.894427190999916
"98","C","ミヤマベニシダ","-",0,"-",0,"Ⅰ",1.78885438199983,"Ⅰ",2.68328157299975
"99","C","ミヤマメシダ","-",0,"Ⅱ",9.54986910905066,"Ⅱ",10.507140429251,"Ⅰ",8
"100","C","ミヤマワラビ","Ⅰ",5.65685424949238,"Ⅱ",9.67470929795826,"Ⅱ",8.76356092008266,"Ⅱ",5.79655069847578
"101","C","メシダ","Ⅰ",6.92820323027551,"-",0,"-",0,"-",0
"102","C","モミジカラマツ","Ⅰ",2.82842712474619,"Ⅰ",6.19677335393187,"Ⅰ",5.58569601750758,"Ⅰ",5.3665631459995
"103","C","ヤグルマソウ","-",0,"Ⅰ",3.79473319220206,"Ⅰ",4.09878030638384,"Ⅰ",3.79473319220206
"104","C","ヤマイヌワラビ","-",0,"-",0,"Ⅰ",1.26491106406735,"Ⅰ",0.894427190999916
"105","C","ヤマソテツ","Ⅲ",33.7994082788442,"Ⅳ",38.3249266144111,"Ⅴ",38.4499674902333,"Ⅴ",36.6606055596467
"106","C","ヤマドリゼンマイ","Ⅰ",6.92820323027551,"Ⅰ",4.38178046004133,"Ⅱ",8.53229160308062,"Ⅲ",12.5857061780418
"107","C","ヤマハハコ","Ⅰ",1.78885438199983,"Ⅰ",1.78885438199983,"-",0,"Ⅰ",0.894427190999916
"108","C","ヤマブキショウマ","Ⅰ",3.57770876399966,"Ⅱ",8.53229160308062,"Ⅱ",7.48331477354788,"Ⅰ",3.09838667696593
"109","C","ユキザサ","Ⅱ",7.58946638440411,"-",0,"Ⅰ",2.68328157299975,"Ⅰ",3.79473319220206
"110","C","ヨツバヒヨドリ","Ⅰ",3.3466401061363,"Ⅰ",2.82842712474619,"Ⅰ",1.78885438199983,"-",0
"111","C","ヨモギ","Ⅰ",12.6491106406735,"Ⅰ",12.328828005938,"Ⅰ",0.894427190999916,"Ⅰ",10.1980390271856
"112","S","チシマザサ","Ⅴ",94.8683298050514,"Ⅴ",88.3266664150754,"Ⅴ",94.0212741883453,"Ⅴ",93.38094023943
